#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:41       3    254     71      -     67     25      0      0      0      0  13801   2955      0      0 
 20260602    17:58:42       0    253     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:42       1    221     56      -     32      7      0      0      0      0  13801   2895      0      0 
 20260602    17:58:42       2    249     67      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:42       3    263     71      -     33      9      0      0      0      0  13801   2955      0      0 
 20260602    17:58:43       0    277     73      -     25      5      0      0      0      0  13801   2842      0      0 
 20260602    17:58:43       1    225     58      -     61     16      0      0      0      0  13801   2895      0      0 
 20260602    17:58:43       2    241     67      -     61     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:43       3    255     71      -     63     24      0      0      0      0  13801   2955      0      0 
 20260602    17:58:44       0    258     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:44       1    218     57      -     60     15      0      0      0      0  13801   2895      0      0 
 20260602    17:58:44       2    255     67      -     34      9      0      0      0      0  13801   2887      0      0 
 20260602    17:58:44       3    259     71      -     64     24      0      0      0      0  13801   2940      0      0 
 20260602    17:58:45       0    275     74      -     32      8      0      0      0      0  13801   2842      0      0 
 20260602    17:58:45       1    230     57      -     60     15      0      0      0      0  13801   2895      0      0 
 20260602    17:58:45       2    251     67      -     62     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:45       3    259     70      -     54     19      0      0      0      0  13801   2940      0      0 
 20260602    17:58:46       0    266     74      -     65     20      0      0      0      0  13801   2835      0      0 
 20260602    17:58:46       1    222     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:46       2    243     67      -     62     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:46       3    271     73      -     63     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:47       0    245     73      -     60     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:47       1    217     56      -     36      7      0      0      0      0  13801   2895      0      0 
 20260602    17:58:47       2    253     67      -     20      3      0      0      0      0  13801   2887      0      0 
 20260602    17:58:47       3    246     72      -     63     24      0      0      0      0  13801   2955      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:48       0    258     72      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:48       1    224     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:48       2    250     67      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:48       3    257     69      -     64     25      0      0      0      0  13801   2947      0      0 
 20260602    17:58:49       0    244     73      -     52     16      0      0      0      0  13801   2850      0      0 
 20260602    17:58:49       1    222     56      -     51     13      0      0      0      0  13801   2895      0      0 
 20260602    17:58:49       2    241     65      -     56     16      0      0      0      0  13801   2887      0      0 
 20260602    17:58:49       3    251     72      -     49     18      0      0      0      0  13801   2947      0      0 
 20260602    17:58:50       0    231     75      -     57     18      0      0      0      0  13801   2850      0      0 
 20260602    17:58:50       1    232     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:50       2    248     67      -     64     21      0      0      0      0  13801   2887      0      0 
 20260602    17:58:50       3    256     71      -     66     26      0      0      0      0  13801   2940      0      0 
 20260602    17:58:51       0    226     72      -     38     11      0      0      0      0  13801   2850      0      0 
 20260602    17:58:51       1    222     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:51       2    251     67      -     62     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:51       3    261     70      -     70     27      0      0      0      0  13801   2940      0      0 
 20260602    17:58:52       0    235     74      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:52       1    225     57      -     50     13      0      0      0      0  13801   2895      0      0 
 20260602    17:58:52       2    254     68      -     62     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:52       3    264     72      -     66     26      0      0      0      0  13801   2955      0      0 
 20260602    17:58:53       0    251     73      -     61     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:53       1    217     56      -     63     16      0      0      0      0  13801   2895      0      0 
 20260602    17:58:53       2    248     67      -     52     16      0      0      0      0  13801   2887      0      0 
 20260602    17:58:53       3    254     71      -     55     21      0      0      0      0  13801   2955      0      0 
 20260602    17:58:54       0    245     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:54       1    221     55      -     29      6      0      0      0      0  13801   2895      0      0 
 20260602    17:58:54       2    245     65      -     20      3      0      0      0      0  13801   2887      0      0 
 20260602    17:58:54       3    253     69      -     24      5      0      0      0      0  13801   2940      0      0 
 20260602    17:58:55       0    248     73      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:55       1    224     57      -     62     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:55       2    250     67      -     61     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:55       3    263     72      -     65     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:56       0    257     72      -     19      2      0      0      0      0  13801   2850      0      0 
 20260602    17:58:56       1    221     58      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:56       2    244     68      -     62     20      0      0      0      0  13801   2887      0      0 
